db-1  | 2025-07-28 16:47:51+00:00 [Note] [Entrypoint]: Entrypoint script for MariaDB Server 1:10.11.13+maria~ubu2204 started.
db-1  | 2025-07-28 16:47:53+00:00 [Warn] [Entrypoint]: /sys/fs/cgroup///memory.pressure not writable, functionality unavailable to MariaDB
db-1  | 2025-07-28 16:47:53+00:00 [Note] [Entrypoint]: Switching to dedicated user 'mysql'
db-1  | 2025-07-28 16:47:53+00:00 [Note] [Entrypoint]: Entrypoint script for MariaDB Server 1:10.11.13+maria~ubu2204 started.
db-1  | 2025-07-28 16:47:54+00:00 [Note] [Entrypoint]: MariaDB upgrade not required
db-1  | 2025-07-28 16:47:54 0 [Note] Starting MariaDB 10.11.13-MariaDB-ubu2204 source revision 8fb09426b98583916ccfd4f8c49741adc115bac3 server_uid O/hWC1m0nsf+jKGXOftNY1GxCPw= as process 1
db-1  | 2025-07-28 16:47:54 0 [Note] InnoDB: Compressed tables use zlib 1.2.11
db-1  | 2025-07-28 16:47:54 0 [Note] InnoDB: Number of transaction pools: 1
db-1  | 2025-07-28 16:47:54 0 [Note] InnoDB: Using ARMv8 crc32 + pmull instructions
db-1  | 2025-07-28 16:47:54 0 [Warning] mariadbd: io_uring_queue_init() failed with EPERM: sysctl kernel.io_uring_disabled has the value 2, or 1 and the user of the process is not a member of sysctl kernel.io_uring_group. (see man 2 io_uring_setup).
db-1  | 2025-07-28 16:47:54 0 [Warning] InnoDB: liburing disabled: falling back to innodb_use_native_aio=OFF
db-1  | 2025-07-28 16:47:54 0 [Note] InnoDB: innodb_buffer_pool_size_max=128m, innodb_buffer_pool_size=128m
db-1  | 2025-07-28 16:47:54 0 [Note] InnoDB: Completed initialization of buffer pool
db-1  | 2025-07-28 16:47:54 0 [Note] InnoDB: File system buffers for log disabled (block size=512 bytes)
db-1  | 2025-07-28 16:47:54 0 [Note] InnoDB: End of log at LSN=5746886
db-1  | 2025-07-28 16:47:54 0 [Note] InnoDB: 128 rollback segments are active.
db-1  | 2025-07-28 16:47:54 0 [Note] InnoDB: Setting file './ibtmp1' size to 12.000MiB. Physically writing the file full; Please wait ...
db-1  | 2025-07-28 16:47:54 0 [Note] InnoDB: File './ibtmp1' size is now 12.000MiB.
db-1  | 2025-07-28 16:47:54 0 [Note] InnoDB: log sequence number 5746886; transaction id 3859
db-1  | 2025-07-28 16:47:54 0 [Note] Plugin 'FEEDBACK' is disabled.
db-1  | 2025-07-28 16:47:54 0 [Note] InnoDB: Loading buffer pool(s) from /var/lib/mysql/ib_buffer_pool
db-1  | 2025-07-28 16:47:54 0 [Warning] You need to use --log-bin to make --expire-logs-days or --binlog-expire-logs-seconds work.
db-1  | 2025-07-28 16:47:55 0 [Note] Server socket created on IP: '0.0.0.0'.
db-1  | 2025-07-28 16:47:55 0 [Note] Server socket created on IP: '::'.
db-1  | 2025-07-28 16:47:55 0 [Note] mariadbd: ready for connections.
